Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
graphstate,13,0.04479,0.5186,0.00571,0.38462,0.90234,0.87466,0.38194,0.52,0.64851,0.213365,0.5193,0.423095,0.73,0.36,5.5,1.55,2.64,0.2973,0.80423,0.00365,0.39157,0.40519,0.5
qpeinexact,3,0.84933,0.62673,0.62224,0.73684,0.88372,0.9505,0.0,0.0,0.0,0.424665,0.313365,0.42296,0.18,0.12,2.11,2.53,4.45,0.0,0.86154,0.85741,0.63889,0.23175,0.0
qftentangled,11,0.00169,0.00014,0.04883,0.5156,0.86648,0.84571,0.48136,0.52646,0.68148,0.24152500000000002,0.26330000000000003,0.341265,4.72,10.85,3.03,0.46,1.4,0.67576,0.36782,0.00105,0.84571,0.00105,0.68148
wstate,8,0.62678,0.74763,0.47844,0.78462,0.91026,0.8843,0.35714,0.35714,0.35714,0.49196,0.552385,0.558345,0.26,0.15,3.91,0.47,0.17,0.38298,0.72024,0.54941,0.8963,0.4538,0.35714
portfolioqaoa,4,0.39344,0.11101,0.50991,0.66304,0.88462,0.91089,0.12903,0.0,0.27778,0.261235,0.055505,0.323265,0.14,0.29,2.45,2.08,13.14,0.0,0.64474,0.32061,0.91089,0.32061,0.27778
qaoa,5,0.41606,0.21677,0.62471,0.72174,0.87531,0.91667,0.40625,0.28,0.4,0.411155,0.24838500000000002,0.433045,0.41,0.25,2.16,2.05,12.92,0.24138,0.74561,0.52083,0.91667,0.52083,0.4
pricingput,11,1e-05,0.00025,0.01071,0.61905,0.87374,0.86109,0.33475,0.27607,0.39457,0.16738,0.13815999999999998,0.19527,3.96,1.91,18.24,1.26,4.32,0.26357,0.53303,0.0,0.42102,2e-05,0.24757
portfolioqaoa,3,0.62633,0.25666,0.64294,0.74336,0.88636,0.93023,0.0,0.0,0.35484,0.313165,0.12833,0.32536,0.18,0.16,3.52,0.75,5.54,0.0,0.69697,0.04955,0.54412,0.52617,0.0
qft,8,0.15235,0.13365,0.22014,0.54369,0.86683,0.84821,0.39007,0.38509,0.57353,0.27121,0.25937,0.3023,1.27,0.85,16.27,1.69,1.37,0.49367,0.39231,0.03107,0.84821,0.03107,0.57353
ae,4,0.72962,0.64364,0.76792,0.74603,0.89024,0.90164,0.0,0.0,0.35,0.36481,0.32182,0.43013,0.08,0.13,3.23,2.68,3.75,0.0,0.76623,0.1849,0.65517,0.48425,0.0
wstate,4,0.82865,0.86006,0.86237,0.7931,0.91176,0.88679,0.16667,0.16667,0.16667,0.49766,0.5133650000000001,0.51452,0.05,0.08,2.37,1.43,1.43,0.16667,0.89831,0.86237,0.89831,0.71062,0.16667
routing,12,0.36125,0.54972,0.53987,0.86076,0.9156,0.9086,0.54545,0.54545,0.65574,0.45335000000000003,0.547585,0.45751,0.51,0.36,4.09,4.74,2.13,0.5,0.85,0.01065,0.57931,0.00067,0.52941
qpeexact,16,0.0,0.0,0.0001,0.49851,0.86484,0.86807,0.5037,0.52847,0.71005,0.25185,0.264235,0.28757,1.21,2.94,4.76,4.56,4.57,0.55439,0.35227,0.0,0.25203,0.0,0.59826
vqe,12,0.45216,0.62732,0.59732,0.86905,0.92058,0.92667,0.40909,0.40909,0.54135,0.43062500000000004,0.518205,0.512015,0.16,0.24,4.07,3.07,4.63,0.36,0.91103,0.03267,0.59077,0.03732,0.40909
dj,6,0.76069,0.73031,0.72358,0.71429,0.88172,0.92735,0.0,0.0,0.46721,0.380345,0.365155,0.47826,0.17,0.19,2.8,0.33,4.16,0.0,0.91525,0.02793,0.32967,0.13379,0.35294
qpeexact,6,0.4231,0.36543,0.42296,0.65116,0.87432,0.92259,0.13333,0.21739,0.26471,0.278215,0.29141,0.27535,0.23,0.35,4.12,0.38,0.58,0.26316,0.50327,0.16991,0.85714,0.00014,0.35294
routing,12,0.36125,0.54972,0.53987,0.86076,0.9156,0.92361,0.54545,0.54545,0.63131,0.45335000000000003,0.547585,0.5484899999999999,0.65,0.36,3.54,0.6,0.48,0.5,0.85,0.00658,0.56,0.01108,0.54545
realamprandom,7,0.06578,0.00438,0.1396,0.63655,0.87247,0.82,0.44199,0.44809,0.60317,0.253885,0.226235,0.325365,12.65,0.72,22.37,1.55,0.42,0.51429,0.3617,0.04756,0.82,0.04756,0.60317
ae,11,0.00223,0.00154,0.00245,0.61815,0.87052,0.87074,0.35656,0.45769,0.50909,0.179395,0.22961499999999999,0.25585,1.6,10.58,19.65,1.49,0.12,0.43601,0.53055,0.00261,0.87074,0.00261,0.50909
qpeexact,15,0.00011,0.0,0.0005,0.49878,0.8653,0.87008,0.48706,0.50831,0.68439,0.243585,0.254155,0.3001,3.38,2.38,4.7,16.46,4.94,0.60454,0.66721,0.0,0.25891,0.0,0.49327
su2random,7,0.06577,0.00435,0.06204,0.64016,0.87474,0.86364,0.44199,0.44809,0.60317,0.25388,0.22622,0.319315,2.84,0.75,4.75,0.79,14.23,0.40586,0.3324,0.03546,0.86364,0.03546,0.60317
graphstate,6,0.3497,0.4916,0.67611,0.35802,0.8835,0.93056,0.19231,0.25,0.38095,0.271005,0.3708,0.48095499999999997,0.57,0.18,2.64,2.18,15.1,0.16667,0.91667,0.28262,0.58824,0.15232,0.4
qgan,5,0.64978,0.58948,0.70375,0.72816,0.88235,0.91304,0.14286,0.09091,0.3,0.39632,0.340195,0.42872,2.7,0.22,4.24,0.78,13.89,0.08,0.81481,0.5277,0.91304,0.5277,0.3
realamprandom,2,0.92474,0.916,0.91063,0.86957,0.89286,0.96154,0.0,0.0,0.0,0.46237,0.458,0.468165,0.27,0.03,3.52,0.72,3.48,0.0,0.93333,0.49853,0.96154,0.49853,0.0
vqe,9,0.58183,0.69833,0.74161,0.875,0.92118,0.86207,0.375,0.375,0.375,0.478415,0.536665,0.558305,0.56,0.18,14.96,1.39,0.71,0.375,0.87786,0.42974,0.86207,0.42974,0.375
qgan,11,0.01262,0.00507,0.04289,0.72973,0.86757,0.90385,0.39375,0.57073,0.65455,0.203185,0.2879,0.34469,0.32,10.45,18.56,1.37,0.76,0.38618,0.44966,0.03483,0.90385,0.03483,0.65455
qpeinexact,2,0.95689,0.96751,0.93009,0.83333,0.92308,0.84615,0.0,0.0,0.0,0.478445,0.483755,0.47964,0.02,0.04,12.87,1.12,1.56,0.0,0.84615,0.9265,0.95833,0.95928,0.0
graphstate,11,0.2385,0.26592,0.48794,0.51449,0.8817,0.91667,0.46269,0.60377,0.65854,0.350595,0.43484500000000004,0.487605,10.73,0.3,1.51,5.22,2.5,0.54545,0.91667,0.01513,0.40146,0.48794,0.54545
vqe,10,0.45289,0.66968,0.69139,0.87671,0.92174,0.91124,0.38889,0.38889,0.5812,0.42089,0.529285,0.5476,0.2,0.19,2.52,0.76,5.85,0.33333,0.86093,0.06828,0.57762,0.01732,0.46667
qgan,3,0.87937,0.72954,0.86292,0.83333,0.90164,0.94393,0.0,0.0,0.47143,0.439685,0.36477,0.398405,0.08,0.1,2.08,1.42,16.27,0.0,0.875,0.35347,0.47368,0.34933,0.0
ghz,11,0.68734,0.71143,0.60473,0.58333,0.92424,0.84127,0.0,0.0,0.42857,0.34367,0.355715,0.374975,0.15,0.12,2.32,1.13,2.82,0.0,0.84127,0.26983,0.11111,0.60473,0.0
qgan,10,0.11325,0.00852,0.10624,0.66667,0.86842,0.9011,0.30263,0.52821,0.62222,0.20794,0.26836499999999996,0.344285,2.53,5.96,3.16,1.28,1.13,0.34444,0.65714,0.06635,0.9011,0.06635,0.62222
qftentangled,12,0.0034,0.00074,0.02995,0.47339,0.86685,0.85572,0.47074,0.5522,0.73239,0.23707,0.27647,0.31832000000000005,0.47,7.42,4.79,4.06,2.47,0.70725,0.37031,0.0,0.25965,0.0,0.58163
qftentangled,5,0.33038,0.5174,0.51939,0.45455,0.87467,0.84772,0.24074,0.16667,0.36667,0.28556000000000004,0.342035,0.291615,0.25,0.34,2.32,1.39,0.64,0.23333,0.42857,0.21656,0.84772,0.21656,0.36667
qftentangled,5,0.33038,0.5174,0.51939,0.45455,0.87467,0.95246,0.24074,0.16667,0.36667,0.28556000000000004,0.342035,0.291615,6.22,0.32,2.54,3.73,0.53,0.23333,0.42857,0.21656,0.84772,0.00086,0.35088
realamprandom,11,0.0,0.0,1e-05,0.45606,0.86772,0.8125,0.46088,0.63198,0.75152,0.23044,0.31599,0.37595,2.68,11.28,3.53,1.26,1.08,0.60123,0.27663,0.00038,0.8125,0.00038,0.75152
ghz,16,0.50032,0.38077,0.49862,0.55882,0.92386,0.87903,0.0,0.0,0.41509,0.25016,0.190385,0.396885,11.8,0.16,3.34,2.55,1.98,0.35714,0.31148,0.01045,0.10674,0.03762,0.0
tsp,9,0.29713,0.53585,0.57876,0.87879,0.89189,0.92844,0.6,0.6,0.6,0.448565,0.567925,0.5703499999999999,7.25,0.42,2.26,1.02,0.73,0.6,0.92844,0.08544,0.90544,0.30163,0.6
